,,Dumfries and Galloway,Scotland
North Milmain,,Dumfries and Galloway,Scotland
Nunholm,,Dumfries and Galloway,Scotland
Old Bridge of Urr,DG7,Dumfries and Galloway,Scotland
Old Graitney,,Dumfries and Galloway,Scotland
Old Johnstone,,Dumfries and Galloway,Scotland
Palnackie,DG7,Dumfries and Galloway,Scotland
Parkgate,DG1,Dumfries and Galloway,Scotland
Parton,DG7,Dumfries and Galloway,Scotland
Penpont,DG3,Dumfries and Galloway,Scotland
Penwhirn Burn,,Dumfries and Galloway,Scotland
Penwhirn Reservoir,,Dumfries and Galloway,Scotland
Piltanton Burn,,Dumfries and Galloway,Scotland
Plantationfoot,,Dumfries and Galloway,Scotland
Port Logan,DG9,Dumfries and Galloway,Scotland
Port William,DG8,Dumfries and Galloway,Scotland
Portpatrick,DG9,Dumfries and Galloway,Scotland
Portslogan,DG9,Dumfries and Galloway,Scotland
Powfoot,DG12,Dumfries and Galloway,Scotland
Prestonmill,,Dumfries and Galloway,Scotland
Priestside,,Dumfries and Galloway,Scotland
Pullaugh Burn,,Dumfries and Galloway,Scotland
Racks,DG1,Dumfries and Galloway,Scotland
Rae Burn,,Dumfries and Galloway,Scotland
Raehills,,Dumfries and Galloway,Scotland
Rhonehouse (Kelton Hil),,Dumfries and Galloway,Scotland
Rigg,DG16,Dumfries and Galloway,Scotland
Ringford,DG7,Dumfries and Galloway,Scotland
Rockcliffe,DG5,Dumfries and Galloway,Scotland
Ross,DG6,Dumfries and Galloway,Scotland
Rowanburn,DG14,Dumfries and Galloway,Scotland
Ruthwell,DG1,Dumfries and Galloway,Scotland
Sand Side,,Dumfries and Galloway,Scotland
Sandgreen,DG7,Dumfries and Galloway,Scotland
Sandhead,DG9,Dumfries and Galloway,Scotland
Sanquhar,DG4,Dumfries and Galloway,Scotland
Scar Water,,Dumfries and Galloway,Scotland
Scaur (Kippford),,Dumfries and Galloway,Scotland
Scaur Water,,Dumfries and Galloway,Scotland
Shawhead,DG2,Dumfries and Galloway,Scotland
Shinnel Water,,Dumfries and Galloway,Scotland
Sibbaldbie,DG11,Dumfries and Galloway,Scotland
Skyreburn,,Dumfries and Galloway,Scotland
Smallholm,,Dumfries and Galloway,Scotland
Sorbie,DG8,Dumfries and Galloway,Scotland
South Corrielaw,,Dumfries and Galloway,Scotland
Southerness,DG2,Dumfries and Galloway,Scotland
Southerness Point,,Dumfries and Galloway,Scotland
Spittal,DG8,Dumfries and Galloway,Scotland
Spout,,Dumfries and Galloway,Scotland
Springfield,DG16,Dumfries and Galloway,Scotland
Springkell,DG11,Dumfries and Galloway,Scotland
Springwells,,Dumfries and Galloway,Scotland
Stairhaven,,Dumfries and Galloway,Scotland
Stenhouse,,Dumfries and Galloway,Scotland
Stoneykirk,DG9,Dumfries and Galloway,Scotland
Stranraer,DG9,Dumfries and Galloway,Scotland
Stronord,,Dumfries and Galloway,Scotland
Summerville,,Dumfries and Galloway,Scotland
Tail Burn,,Dumfries and Galloway,Scotland
Tarf Water,,Dumfries and Galloway,Scotland
Templand,DG11,Dumfries and Galloway,Scotland
Terregles,DG2,Dumfries and Galloway,Scotland
The Glenkens,,Dumfries and Galloway,Scotland
The Lake,,Dumfries and Galloway,Scotland
Thornhill,DG3,Dumfries and Galloway,Scotland
Three Crofts,,Dumfries and Galloway,Scotland
